Elapsed time,EMG
00:00:814:120,542
00:00:815:124,600
00:00:816:124,575
00:00:817:128,585
00:00:818:128,555
00:00:819:128,573
00:00:820:128,545
00:00:821:132,556
00:00:822:136,543
00:00:823:140,568
00:00:824:140,549
00:00:825:140,555
00:00:826:140,566
00:00:827:144,561
00:00:828:148,586
00:00:829:152,551
00:00:830:152,562
00:00:831:152,536
00:00:832:156,542
00:00:833:160,552
00:00:834:164,551
00:00:835:168,557
00:00:836:172,565
00:00:837:176,608
00:00:838:180,582
00:00:839:184,600
00:00:840:184,547
00:00:841:188,561
00:00:842:192,547
00:00:843:196,551
00:00:844:200,539
00:00:845:204,569
00:00:846:208,543
00:00:847:212,546
00:00:848:216,595
00:00:849:216,558
00:00:850:216,587
00:00:851:216,542
00:00:852:220,545
00:00:853:224,557
00:00:854:228,547
00:00:855:232,546
00:00:856:232,562
00:00:857:236,573
00:00:858:240,560
00:00:859:244,605
00:00:860:244,589
00:00:861:248,588
00:00:862:252,553
00:00:863:252,544
00:00:864:256,570
00:00:865:260,543
00:00:866:260,538
00:00:867:260,550
00:00:868:260,557
00:00:869:264,575
00:00:870:268,588
00:00:871:272,598
00:00:872:276,566
00:00:873:276,545
00:00:874:280,543
00:00:875:284,562
00:00:876:288,550
00:00:877:292,552
00:00:878:292,551
00:00:879:296,566
00:00:880:296,621
00:00:881:300,594
00:00:882:304,591
00:00:883:308,556
00:00:884:312,539
00:00:885:316,562
00:00:886:316,543
00:00:887:316,547
00:00:888:320,545
00:00:889:320,543
00:00:890:320,559
00:00:891:324,599
00:00:892:328,557
00:00:893:332,568
00:00:894:336,568
00:00:895:336,579
00:00:896:340,543
00:00:897:344,563
00:00:898:344,548
00:00:899:344,574
00:00:900:344,583
00:00:901:348,572
00:00:902:352,620
00:00:903:356,589
00:00:904:360,587
00:00:905:364,547
00:00:906:364,545
00:00:907:364,553
00:00:908:364,545
00:00:909:364,546
00:00:910:364,548
00:00:911:364,561
00:00:912:368,559
00:00:913:372,617
00:00:914:376,585
00:00:915:380,620
00:00:916:384,587
00:00:917:388,571
00:00:918:392,570
00:00:919:392,572
00:00:920:392,555
00:00:921:396,547
00:00:922:400,558
00:00:923:404,566
00:00:924:408,579
00:00:925:412,558
00:00:926:416,585
00:00:927:428,551
00:00:928:432,547
00:00:929:436,550
00:00:930:440,545
00:00:931:444,537
00:00:932:448,558
00:00:933:452,547
00:00:934:456,561
00:00:935:456,601
00:00:936:456,590
00:00:937:460,574
00:00:938:460,556
00:00:939:464,568
00:00:940:464,566
00:00:941:464,543
00:00:942:468,543
00:00:943:472,566
00:00:944:472,545
00:00:945:476,560
00:00:946:476,603
00:00:947:480,555
00:00:948:484,559
00:00:949:484,547
00:00:950:488,551
00:00:951:488,539
00:00:952:492,540
00:00:953:492,551
00:00:954:492,588
00:00:955:492,568
00:00:956:496,590
00:00:957:496,615
00:00:958:500,604
00:00:959:504,582
00:00:960:504,549
00:00:961:508,556
00:00:962:508,563
00:00:963:512,542
00:00:964:516,536
00:00:965:520,547
00:00:966:524,540
00:00:967:524,568
00:00:968:528,593
00:00:969:528,543
00:00:970:532,560
00:00:971:532,545
00:00:972:536,543
00:00:973:540,557
00:00:974:544,550
00:00:975:544,565
00:00:976:548,562
00:00:977:552,560
00:00:978:556,610
00:00:979:556,606
00:00:980:560,583
00:00:981:564,565
00:00:982:564,546
00:00:983:568,539
00:00:984:572,547
00:00:985:576,550
00:00:986:580,536
00:00:987:580,542
00:00:988:580,562
00:00:989:580,588
00:00:990:580,568
00:00:991:580,582
00:00:992:584,556
00:00:993:588,551
00:00:994:592,540
00:00:995:596,551
00:00:996:600,545
00:00:997:604,569
00:00:998:604,575
00:00:999:608,558
00:01:000:612,623
00:01:001:616,593
00:01:002:620,551
00:01:003:624,556
00:01:004:628,564
00:01:005:632,546
00:01:006:632,546
00:01:007:636,537
00:01:008:636,546
00:01:009:640,544
00:01:010:644,555
00:01:011:644,603
00:01:012:644,571
00:01:013:648,575
00:01:014:648,580
00:01:015:648,584
00:01:016:652,552
00:01:017:652,544
00:01:018:652,551
00:01:019:656,574
00:01:020:656,561
00:01:021:660,578
00:01:022:660,609
00:01:023:664,572
00:01:024:668,603
00:01:025:668,551
00:01:026:668,550
00:01:027:668,547
00:01:028:672,557
00:01:029:676,537
00:01:030:676,550
00:01:031:680,575
00:01:032:680,562
00:01:033:684,591
