Elapsed time,EKG
00:00:799:172,426
00:00:800:172,423
00:00:801:176,426
00:00:802:180,426
00:00:803:184,425
00:00:804:184,426
00:00:805:188,427
00:00:806:188,430
00:00:807:188,429
00:00:808:188,430
00:00:809:188,434
00:00:810:192,433
00:00:811:196,431
00:00:812:200,429
00:00:813:204,425
00:00:814:208,423
00:00:815:212,419
00:00:816:216,415
00:00:817:220,413
00:00:818:224,410
00:00:819:228,410
00:00:820:232,409
00:00:821:236,406
00:00:822:240,405
00:00:823:244,407
00:00:824:244,408
00:00:825:248,409
00:00:826:252,411
00:00:827:256,410
00:00:828:260,410
00:00:829:260,409
00:00:830:264,408
00:00:831:264,406
00:00:832:264,400
00:00:833:264,399
00:00:834:268,399
00:00:835:272,390
00:00:836:276,387
00:00:837:280,381
00:00:838:284,376
00:00:839:284,374
00:00:840:284,369
00:00:841:284,363
00:00:842:288,364
00:00:843:292,363
00:00:844:296,364
00:00:845:300,366
00:00:846:304,367
00:00:847:308,368
00:00:848:308,368
00:00:849:312,368
00:00:850:316,366
00:00:851:320,365
00:00:852:324,363
00:00:853:328,361
00:00:854:332,359
00:00:855:336,355
00:00:856:340,353
00:00:857:344,349
00:00:858:344,346
00:00:859:344,345
00:00:860:348,343
00:00:861:352,344
00:00:862:356,342
00:00:863:356,343
00:00:864:360,344
00:00:865:364,345
00:00:866:368,350
00:00:867:368,351
00:00:868:372,350
00:00:869:376,352
00:00:870:380,352
00:00:871:384,348
00:00:872:388,348
00:00:873:392,344
00:00:874:396,339
00:00:875:400,336
00:00:876:404,332
00:00:877:408,335
00:00:878:412,329
00:00:879:416,327
00:00:880:420,329
00:00:881:424,330
00:00:882:428,332
00:00:883:432,335
00:00:884:436,339
00:00:885:440,343
00:00:886:444,347
00:00:887:448,349
00:00:888:452,354
00:00:889:456,354
00:00:890:460,353
00:00:891:460,352
00:00:892:464,351
00:00:893:468,348
00:00:894:468,344
00:00:895:468,342
00:00:896:472,339
00:00:897:472,336
00:00:898:476,335
00:00:899:480,335
00:00:900:484,334
00:00:901:488,334
00:00:902:488,335
00:00:903:492,339
00:00:904:496,340
00:00:905:500,343
00:00:906:500,345
00:00:907:500,346
00:00:908:504,348
00:00:909:508,352
00:00:910:508,352
00:00:911:512,348
00:00:912:516,347
00:00:913:520,344
00:00:914:520,340
00:00:915:524,337
00:00:916:524,335
00:00:917:524,333
00:00:918:524,330
00:00:919:528,330
00:00:920:532,329
00:00:921:532,330
00:00:922:532,332
00:00:923:536,334
00:00:924:540,336
00:00:925:544,339
00:00:926:548,341
00:00:927:552,345
00:00:928:556,348
00:00:929:560,347
00:00:930:560,347
00:00:931:564,345
00:00:932:568,347
00:00:933:572,344
00:00:934:576,340
00:00:935:580,337
00:00:936:584,334
00:00:937:588,332
00:00:938:592,331
00:00:939:592,330
00:00:940:592,329
00:00:941:596,330
00:00:942:596,333
00:00:943:600,334
00:00:944:604,335
00:00:945:604,338
00:00:946:608,344
00:00:947:612,346
00:00:948:616,345
00:00:949:620,345
00:00:950:624,345
00:00:951:628,347
